Date,Adj Close,Close,High,Low
11/11/2019,88.582,88.582,89.000,88.356
12/11/2019,88.900,88.900,89.311,88.595
13/11/2019,87.656,87.656,88.750,87.366
14/11/2019,87.730,87.730,88.329,87.478
15/11/2019,86.975,86.975,88.084,86.643
18/11/2019,87.627,87.627,87.685,86.135
19/11/2019,87.640,87.640,88.034,87.151
20/11/2019,87.276,87.276,88.126,86.706
21/11/2019,86.735,86.735,87.343,86.518
22/11/2019,87.286,87.286,87.322,86.550
25/11/2019,88.692,88.692,88.871,87.662
26/11/2019,89.847,89.847,89.852,88.918
27/11/2019,90.925,90.925,91.225,89.866
29/11/2019,90.040,90.040,91.234,90.039
02/12/2019,89.080,89.080,90.277,88.134
03/12/2019,88.498,88.498,88.644,87.362
04/12/2019,88.035,88.035,89.454,88.011
05/12/2019,87.024,87.024,88.175,87.000
06/12/2019,87.580,87.580,87.720,87.007
09/12/2019,87.476,87.476,88.344,87.281
10/12/2019,86.961,86.961,87.534,86.750
11/12/2019,87.436,87.436,87.500,86.785
12/12/2019,88.017,88.017,88.200,87.272
13/12/2019,88.047,88.047,88.450,87.750
16/12/2019,88.461,88.461,88.475,87.853
17/12/2019,89.533,89.533,89.600,88.869
18/12/2019,89.201,89.201,89.910,89.118
19/12/2019,89.614,89.614,89.649,88.703
20/12/2019,89.325,89.325,90.148,89.122
23/12/2019,89.650,89.650,89.650,89.226
24/12/2019,89.461,89.461,89.779,89.379
26/12/2019,93.438,93.438,93.523,89.975
27/12/2019,93.490,93.490,95.070,93.300
30/12/2019,92.344,92.344,94.200,92.031
31/12/2019,92.392,92.392,92.663,91.612
02/01/2020,94.900,94.900,94.900,93.207
03/01/2020,93.748,93.748,94.310,93.225
06/01/2020,95.144,95.144,95.185,93.000
07/01/2020,95.343,95.343,95.695,94.602
08/01/2020,94.599,94.599,95.550,94.322
09/01/2020,95.052,95.052,95.891,94.790
10/01/2020,94.158,94.158,95.347,94.000
13/01/2020,94.565,94.565,94.900,94.040
14/01/2020,93.472,93.472,94.355,92.927
15/01/2020,93.101,93.101,93.943,92.755
16/01/2020,93.897,93.897,94.280,93.301
17/01/2020,93.236,93.236,94.332,92.863
21/01/2020,94.600,94.600,94.714,93.000
22/01/2020,94.373,94.373,95.125,94.167
23/01/2020,94.229,94.229,94.499,93.638
24/01/2020,93.082,93.082,94.749,92.372
27/01/2020,91.417,91.417,92.050,90.767
28/01/2020,92.662,92.662,92.906,91.501
29/01/2020,92.900,92.900,93.738,92.751
30/01/2020,93.534,93.534,93.644,92.531
31/01/2020,100.436,100.436,102.786,100.114
03/02/2020,100.210,100.210,102.425,100.012
04/02/2020,102.483,102.483,102.990,100.769
05/02/2020,101.993,101.993,103.551,101.600
06/02/2020,102.511,102.511,102.815,101.240
07/02/2020,103.964,103.964,104.926,101.905
10/02/2020,106.696,106.696,106.780,104.248
11/02/2020,107.540,107.540,109.298,106.800
12/02/2020,108.000,108.000,109.012,107.765
13/02/2020,107.493,107.493,108.514,107.100
14/02/2020,106.743,106.743,107.952,106.295
18/02/2020,107.784,107.784,108.303,106.205
19/02/2020,108.511,108.511,109.255,108.056
20/02/2020,107.655,107.655,108.840,106.372
21/02/2020,104.799,104.799,107.228,104.400
24/02/2020,100.465,100.465,101.965,99.398
25/02/2020,98.637,98.637,101.730,97.921
26/02/2020,98.979,98.979,100.733,98.022
27/02/2020,94.215,94.215,98.750,94.138
28/02/2020,94.188,94.188,94.488,90.557
02/03/2020,97.698,97.698,97.726,93.500
03/03/2020,95.450,95.450,99.816,94.405
04/03/2020,98.791,98.791,98.900,96.100
05/03/2020,96.201,96.201,98.036,95.500
06/03/2020,95.054,95.054,95.544,93.475
09/03/2020,90.031,90.031,93.138,88.064
10/03/2020,94.591,94.591,94.714,90.909
11/03/2020,91.043,91.043,93.566,90.075
12/03/2020,83.830,83.830,88.250,83.750
13/03/2020,89.250,89.250,89.315,84.031
16/03/2020,84.457,84.457,87.973,81.301
17/03/2020,90.392,90.392,92.889,84.462
18/03/2020,91.500,91.500,92.083,87.250
19/03/2020,94.047,94.047,97.250,91.632
20/03/2020,92.304,92.304,97.850,91.036
23/03/2020,95.142,95.142,95.970,90.600
24/03/2020,97.005,97.005,97.750,95.017
25/03/2020,94.292,94.292,97.513,94.289
26/03/2020,97.774,97.774,97.825,94.465
27/03/2020,95.005,95.005,96.990,94.996
30/03/2020,98.198,98.198,98.682,95.617
